date,close,confidence,deployed_usd,gate_rsi,gate_cons,gate_vol,gate_flows,risk_below_ma200_badflows,risk_no_consolidation,risk_atr_extreme,risk_liq_active,ma200,rsi,atr_pct,roll_range_pct,etf_flow,etf_flow_z,liquidations,liq_z
2016-01-01,430.0,0,0.0,False,False,False,False,False,True,False,False,,,0.016302325581395327,,,,,
2016-01-02,435.13,0,0.0,False,False,False,False,False,True,False,False,,,0.018088190393018816,,,,,
2016-01-03,434.8,0,0.0,False,False,False,False,False,True,False,False,,100.49728752260395,0.019238613108536858,,,,,
2016-01-04,441.3,0,0.0,False,False,False,False,False,True,False,False,,100.44983642311884,0.02218191977189047,,,,,
2016-01-05,455.63,0,0.0,False,False,False,False,False,True,False,False,,100.3667505780415,0.02407427322598199,,,,,
2016-01-06,454.4,0,0.0,False,False,False,False,False,True,False,False,,102.11010117665805,0.025958327217901832,,,,,
2016-01-07,453.18,0,0.0,False,False,False,False,False,True,False,False,,104.04045317325098,0.02576255265041164,,,,,
2016-01-08,468.4,0,0.0,False,False,False,False,False,True,False,False,,103.22209165729409,0.027672617563052962,,,,,
2016-01-09,476.53,0,0.0,False,False,False,False,False,True,False,False,,102.8858514333713,0.028580737364000786,,,,,
2016-01-10,473.01,0,0.0,False,False,False,False,False,True,False,False,,108.1480504870696,0.029376383478584695,,,,,
2016-01-11,479.09,0,0.0,False,False,False,False,False,True,False,False,,107.44019956821411,0.029737806636341742,,,,,
2016-01-12,475.61,0,0.0,False,False,False,False,False,True,False,False,,113.51898680771869,0.030346309424928667,,,,,
2016-01-13,472.13,0,0.0,False,False,False,False,False,True,False,False,,120.88454383118594,0.03081764812546699,,,,,
2016-01-14,475.36,0,0.0,False,False,False,False,False,True,False,False,,119.61256619944247,0.030877225489733717,0.10326910131268928,,,,
2016-01-15,458.12,0,0.0,False,False,False,False,False,True,False,False,,184.04349112161978,0.03362989310573612,0.09667772635990562,,,,
2016-01-16,443.23,0,0.0,False,False,False,False,False,True,False,False,,368.8433500599986,0.037140479497068245,0.09992554655596408,,,,
2016-01-17,439.13,0,0.0,False,False,False,False,False,True,False,False,,525.2324934007646,0.03655004073920711,0.09099810989911866,,,,
2016-01-18,431.11,0,0.0,False,False,False,False,False,True,False,False,,4917.066728799863,0.03910550705777846,0.11129410127345679,,,,
2016-01-19,434.69,0,0.0,False,False,False,False,False,True,False,False,,1059.6429154125267,0.039677549669193714,0.11037751040971717,,,,
2016-01-20,427.66,0,0.0,False,False,False,False,False,True,False,False,,-1528.0800310691704,0.040956541387037027,0.12025908431931896,,,,
2016-01-21,416.44,0,0.0,False,False,False,False,False,True,False,False,,-294.00849668801726,0.04326830968010198,0.1504418403611564,,,,
2016-01-22,429.48,20,0.0,True,False,False,False,False,True,False,False,,36594.70240582189,0.04294437683467078,0.14587408028313303,,,,
2016-01-23,428.4,0,0.0,False,False,False,False,False,True,False,False,,-4978.450895339575,0.04242342979165121,0.14624183006535943,,,,
2016-01-24,429.83,20,0.0,True,False,False,False,False,True,False,False,,8292.198314173987,0.040473570148275226,0.14575529860642575,,,,
2016-01-25,418.44,0,0.0,False,False,False,False,False,True,False,False,,-387.2195872362216,0.043192369368339346,0.14140617531784727,,,,
2016-01-26,414.72,0,0.0,False,False,False,False,False,True,False,False,,-283.02421804011954,0.042807607800847185,0.1462191358024691,,,,
2016-01-27,416.47,20,0.0,False,False,True,False,False,True,False,False,,-343.4811424797959,0.04176792435626909,0.14560472543040312,,,,
2016-01-28,407.72,0,0.0,False,False,False,False,False,True,False,False,,-185.6742080438508,0.04241814006400051,0.12361424507014611,,,,
2016-01-29,411.6,0,0.0,False,False,False,False,False,True,False,False,,-265.9662674077968,0.04168079495863281,0.08627308066083574,,,,
2016-01-30,407.48,0,0.0,False,False,False,False,False,True,False,False,,-201.27546056448364,0.04229578273160689,0.07767252380484926,,,,
2016-01-31,405.91,0,0.0,False,False,False,False,False,True,False,False,,-183.00819024574406,0.040982151588349516,0.07090241679189961,,,,
2016-02-01,401.84,0,0.0,False,False,False,False,False,True,False,False,,-146.0124205498318,0.041170587967839095,0.0817489548078838,,,,
2016-02-02,417.53,0,0.0,False,False,False,False,False,True,False,False,,-1430.4665754155874,0.04108718584754457,0.06703709913060142,,,,
